Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Colombia;;Aug 2019;1807380;446628;all;N/A;mean;446628;41;23280;12577;23.28;12.58
ETB;Colombia;;Aug 2019;225037;63769;all;N/A;mean;63769;22;37923;27093;37.92;27.09
Movistar;Colombia;;Aug 2019;267813;69662;all;N/A;mean;69662;47;22386;16607;22.39;16.61
Claro;Colombia;;Aug 2019;820658;206784;all;N/A;mean;206784;46;21411;7440;21.41;7.44
Tigo;Colombia;;Aug 2019;331057;91040;all;N/A;mean;91040;30;21208;11543;21.21;11.54
All Providers Combined;Colombia;;sep-19;1725165;427727;all;N/A;mean;427727;41;23879;12866;23.88;12.87
ETB;Colombia;;sep-19;199715;59062;all;N/A;mean;59062;21;39160;27812;39.16;27.81
Movistar;Colombia;;sep-19;255409;67124;all;N/A;mean;67124;47;22458;17030;22.46;17.03
Claro;Colombia;;sep-19;797441;196698;all;N/A;mean;196698;47;22244;7681;22.24;7.68
Tigo;Colombia;;sep-19;316991;90508;all;N/A;mean;90508;30;22273;12312;22.27;12.31
All Providers Combined;Colombia;;oct-19;1797350;452072;all;N/A;mean;452072;40;25497;13724;25.50;13.72
ETB;Colombia;;oct-19;186161;56997;all;N/A;mean;57000;21;38528;27885;38.53;27.89
Movistar;Colombia;;oct-19;264590;69463;all;N/A;mean;69481;44;26131;22485;26.13;22.49
Claro;Colombia;;oct-19;857263;214507;all;N/A;mean;214537;45;25209;8435;25.21;8.44
Tigo;Colombia;;oct-19;331731;96518;all;N/A;mean;96522;29;21664;11393;21.66;11.39
All Providers Combined;Colombia;;nov-19;1822597;451134;all;N/A;mean;451134;41;27186;15170;27.19;15.17
ETB;Colombia;;nov-19;183198;55297;all;N/A;mean;55288;22;39273;28081;39.27;28.08
Movistar;Colombia;;nov-19;280337;73519;all;N/A;mean;73518;42;32785;31302;32.79;31.30
Claro;Colombia;;nov-19;810620;202649;all;N/A;mean;202636;46;27059;8445;27.06;8.45
Tigo;Colombia;;nov-19;342685;95939;all;N/A;mean;95928;31;21660;11125;21.66;11.13
All Providers Combined;Colombia;;Dec 2019;1676077;432382;all;N/A;mean;432382;41;28322;14496;28.32;14.50
ETB;Colombia;;Dec 2019;148769;46912;all;N/A;mean;46895;24;38922;27331;38.92;27.33
Movistar;Colombia;;Dec 2019;254844;69538;all;N/A;mean;69484;42;33573;32436;33.57;32.44
Claro;Colombia;;Dec 2019;764333;198476;all;N/A;mean;198441;46;28762;8357;28.76;8.36
Tigo;Colombia;;Dec 2019;353559;104090;all;N/A;mean;104061;29;24072;10068;24.07;10.07
